# FORM			LEMMA			UPOS		UFEATS						MISC			URL
aca			aca			DET		_						_				_
aca			aca			PRON		_						_				_
altepetl		altepetl		NOUN		_						_				_
amo			amo			ADV		_						Gloss=no			_
amoxtli			amoxtli			NOUN		_						Gloss=libro			_
anoce			anoce			CCONJ		_						_				_
anozo			anozo			ADV		_						_				_
ayocac			ayocac			PRON		_						_				_
aquin			aquin			PRON		_						_				_
auh			auh			CCONJ		_						Gloss=y				_
azo			azo			ADV		_						Gloss=quizás			_
calaquiz		calaqui			VERB		Subcat=Intr					_				_
capítulo		capítulo		NOUN		_						_				_
catca			catqui			AUX		_						_				_
cateh			catqui			AUX		_						_				_
chicahuac		chicahuac		ADJ		_						_				_
ce			ce			NUM		_						Gloss=uno			_
chicome			chicome			NUM		_						Gloss=siete			_
chicuacen		chicuacen		NUM		_						Gloss=seis			_
chicueyi		chicueyi		NUM		_						Gloss=ocho			_
choca			choca			VERB		Subcat=Intr					_				https://nahuatl.wired-humanities.org/content/choca
chocaya			choca			VERB		Subcat=Intr					_				https://nahuatl.wired-humanities.org/content/choca
coyotl			coyotl			NOUN		_						Gloss=coyote			_
cualcan			cualcan			ADV		_						Gloss=a.buena.hora		https://nahuatl.wired-humanities.org/content/cualcan
cuitlapanton		_			NOUN		_						_				_
españoles		español			NOUN		_						_				_
eyi			eyi			NUM		_						Gloss=tres			_
gobernadores		gobernador		NOUN		_						_				_
horas			hora			NOUN		_						_				_
ic			ic			ADV		_						_				_
ichan			chantli			NOUN		_						Gloss=su.casa			_
icamac			camac			NOUN		_						_				_
ichtecque		_			NOUN		_						_				_
icnoyotl		icnoyotl		NOUN		_						Gloss=pobreza			https://nahuatl.wired-humanities.org/content/icnoyotl
ihcuac			ihcuac			ADV		_						Gloss=en.el.momento		_
ihuan			huan			NOUN		NounType=Relat					Gloss=con			_
ihuin			ihuin			ADV		_						_				_
ihui			ihuin			ADV		_						_				_
ilama			ilama			NOUN		_						_				_
in			in			DET		_						_				_
in			in			SCONJ		_						_				_
in			in			PRON		_						_				_
inextitlan		_			NOUN		_						_				_
inic			inic			SCONJ		_						_				_
inic			inic			ADV		_						_				_
inin			inin			DET		_						Split=in·in			_
inin			inin			PRON		_						_				_
inpan			pan			NOUN		NounType=Relat					_				_
impan			pan			NOUN		NounType=Relat					_				_
topan			pan			NOUN		NounType=Relat					_				_
ipan			pan			NOUN		NounType=Relat					_				_
itech			tech			NOUN		NounType=Relat					_				_
intech			tech			NOUN		NounType=Relat					_				_
quimati			mati			VERB		_						_				_
itechpa			techpa			NOUN		NounType=Relat					_				https://nahuatl.wired-humanities.org/content/techpa
intechpa		techpa			NOUN		NounType=Relat					_				https://nahuatl.wired-humanities.org/content/techpa
itecuillan		_			NOUN		_						_				_
itoca			toca			NOUN		_						Gloss=su.nombre			_
iuh			iuh			ADV		_						Gloss=así			_
iuhqui			iuhquin			ADV		_						Gloss=así			_
iuhquin			iuhquin			ADV		_						Gloss=así			_
ixpan			ixpan			ADV		_						_			_
macuilli		macuilli		NUM		_						Gloss=cinco			_
matlactli		matlactli		NUM		_						Gloss=diez			_
mayordomos		mayordomo		NOUN			_						_			_
mihtoa			ihtoa			VERB		_						_			_
mihtohuaya		ihtoa			VERB		_						_			_
miiecpa			miiecpa			ADV		_						Gloss=muchas.veces			_
miquiz			miqui			VERB		_						_			_
mochi			mochi			DET		_						_			_
mochi			mochi			PRON		_						_			_
mochihuaz		chihua			VERB		_						_			_
mochihua		chihua			VERB		_						_			_
mochiuh			chihua			VERB		_						_			_
monamacaz		namaca			VERB		_						_			_
motenehua		tenehua			VERB		_						_			_
moztla			moztla			ADV		_						Gloss=mañana			_
nahuati			_			VERB		_						_			_
nahui			nahui			NUM		_						Gloss=cuatro			_
nican			nican			ADV		_						Gloss=aquí			_
#nican			nican			NOUN		_						Gloss=aquí			_
nicchihuaz		chihua			VERB		_						_			_
niman			niman			ADV		_						_			_
nimitzmaca		maca			VERB		_						_			_
niquitta		itta			VERB		_						_			_
no			no			ADV		_						Gloss=también			_
occequi			occequi			DET		_						Gloss=unos			_
ohtlica			ohtlica			ADV		_						Gloss=en.el.camino|Root=ohtli			_
ome			ome			NUM		_						Gloss=dos			_
ompa			ompa			ADV		_						Gloss=allá			_
oncan			oncan			ADV		_						Gloss=aquí			_
párrafo			párrafo			NOUN		_						_			_
quichihua		chihua			VERB		Subcat=Tran					_			_
quihtoa			ihtoa			VERB		Subcat=Tran					_			_
quihtoaya		ihtoa			VERB		Subcat=Tran					_			_
quimaca			maca			VERB		Subcat=Ditr					_			_
quitta			itta			VERB		Subcat=Tran					_			_
quittaz			itta			VERB		Subcat=Tran					_			_
tecuani			tecuani			NOUN		_						Gloss=bestia			_
tepan			pan			NOUN		NounType=Relat					_			_
mopan			pan			NOUN		NounType=Relat					_			_
tezcatlipoca		tezcatlipoca		PROPN		_						_			_
ticholozque		choloa			VERB		_						_			_
tlaca			tlacatl			NOUN		_						Gloss=personas			_
tlacanexquimilli	_			NOUN		_						_			_
tlacatecolotl		tlacatecolotl		NOUN		_						Split=tlaca·tecolotl			_
tlalmiquiz		tlalmiqui		VERB		_						Split=tlal·miquiz			_
tlamatinime		tlamatini		NOUN		Number=Plur						_			_
tlatoani		tlatoani		NOUN		_						_			_
tlatocat		_			NOUN		_						_			_
tlatolli		tlatolli		NOUN		_						_			_
tlein			tlein			PRON		_						_			_
tonalpouhque		_			NOUN		_						_			_
tzatzia			tzatzi			VERB		_						_			_
tzonquiza		tzonquiza		VERB		_						_			_
xihuitl			xihuitl			NOUN		_						_			_
yaomiquiz		yaomiqui		VERB		_						Split=yao·miquiz			_
ye			ye			ADV		_						_			_
yohualtepoztli		yohualtepoztli		NOUN		_						Split=yohual·tepoztli			_
yohualtica		_			ADV		_						Temporal=Yes			_
zan			zan			ADV		_						_			_
motlanamictiz		_			VERB		_						_			_
ipilhuan		pilli			NOUN		_						_			_
itlecuillan		_			NOUN		_						_			_
commonamictiz		_			VERB		_						_			_
cemeh			ce			PRON		_						Gloss=unos			_
tonalpouhqui		_			NOUN		_						_			_
yeh			_			PRON		_						_			_
inahual			nahualli		NOUN		_						_			_
cuauhtla		cuauhtla		NOUN		_						Gloss=bosque			_
tototl			tototl			NOUN		_						Gloss=pájaro			_
huehca			_			ADV		_						Gloss=lejos			_
