Book_01_-_The_Gods.txt:86	21	y	in
Book_01_-_The_Gods.txt:87	41	totochtin	Totochtin
Book_01_-_The_Gods.txt:90	23	ca	za
Book_01_-_The_Gods.txt:103	21	ixcozauhqui	Ixcozauhqui
Book_01_-_The_Gods.txt:126	22	ie	ic
Book_01_-_The_Gods.txt:126	48	ie	ic
Book_01_-_The_Gods.txt:130	2	opuchtli	Opochtli
Book_01_-_The_Gods.txt:144	13	ca	za
Book_05_-_The_Omens.txt:10	4	ca	za
Book_05_-_The_Omens.txt:17	42	ca	za
Book_05_-_The_Omens.txt:17	45	ca	za
Book_05_-_The_Omens.txt:21	127	ca	za
Book_05_-_The_Omens.txt:25	37	ca	za
Book_05_-_The_Omens.txt:25	59	ca	za
Book_05_-_The_Omens.txt:25	65	ca	za
Book_05_-_The_Omens.txt:25	83	ca	za
Book_05_-_The_Omens.txt:40	46	ca	za
Book_05_-_The_Omens.txt:43	129	ca	za
Book_05_-_The_Omens.txt:43	132	ca	za
Book_05_-_The_Omens.txt:66	2	ca	za
Book_05_-_The_Omens.txt:79	1	Ca	Za
Book_05_-_The_Omens.txt:95	73	ca	za
