inj xqujch	in·jxqujch
inj xquich	in·jxquich
ini xquich	in·ixquich
I nic	Inic
I tzcoatzin	Itzcoatzin
tlato caiotl	tlatocaiotl
otlato catque	otlatocatque
tla¶ toani	tlatoani
tla¶ to catl	tlatocatl
cempoalxi¶ ujtl	cempoalxiujtl
y nipan¶	yn·ipan¶
quenin¶quipiaia	quenin·quipiaia
A uh	Auh
tenoch¶ titlan	tenochtitlan
te¶ nochtitlan	tenochtitlan
xuch¶milca	xuchmilca
qujn¶peuh	qujnpeuh
Chimal popoca	Chimalpopoca
tlato cat	tlatocat
I njc	Inic
tla¶ toanj	tlatoanj
T icocicatzin	Ticocicatzin
chi come	chicome
tlato¶anj	tlatoanj
Me¶ xico	Mexico
coz¶ tic	coztic
xo¶ xouh qui	xoxouhqui
tilma¶ tli	tilmatli
chicoapal nacaz minqui	chicoapalnacazminqui
cue¶ tlastilmatli	cuetlastilmatli
ini quac	in·iquac
quin¶ icoac	quinicoac
qui cui	quicui
to¶ maiauh campa	tomaiauhcampa
A¶ uh	Auh
tlachiquacen caiotia	tlachiquacencaiotia
nacaz¶ tli	nacaztli
quin¶ peuh	quinpeuh
matlac xihuitl	matlacxihuitl
quj iauchiuh	qujiauchiuh
quauh naoac	quauhnaoac
moquauh naoa caitoa	moquauhnaoacaitoa
maca¶ oacan	macaoacan
nauh xiuitl	nauhxiuitl
Nece to chuiloc	Necetochuiloc
qui peuh¶	quipeuh
ini xquich¶	in·ixquich
A xaiaca	Axaiaca
ma tlacxiuitl	matlacxiuitl
moiao chiuhque	moiaochiuhque
io an	ioan
te¶ nochca	tenochca
po¶ liuh	poliuh
vmpo¶ alxiujtl	vmpoalxiujtl
ao¶ cac	aocac
chiquacen xiujtl	chiquacenxiujtl
inj coac¶	in·jcoac
tlati¶ lulco	tlatilulco
mo quiuixtli	moquiuixtli
tlato¶ anj	tlatoanj
A ujtzotl	Aujtzotl
caxtol xiujtl	caxtolxiujtl
exi¶ uitl	exiuitl
motla¶ po	motlapo
injn toca	in·jntoca
